File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
d08cd647-b66a-4e8b-8cb1-2dc3ed619890	TCGA-EY-A1GM-01Z-00-DX1.038A876C-5C16-49D9-A9AC-C9D570F19044.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-EY-A1GM	TCGA-EY-A1GM-01Z	Primary Tumor
88fae228-c288-41a2-b832-57504b7ca97c	TCGA-BG-A0MT-01Z-00-DX1.B1C908C7-200C-4B22-8FBA-896267D8CDAB.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-BG-A0MT	TCGA-BG-A0MT-01Z	Primary Tumor
18bcd6a4-2359-4b04-9e8b-7385149919cf	TCGA-AP-A05N-01Z-00-DX1.B7691AB5-EC71-423A-81E8-EFE936EA939F.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AP-A05N	TCGA-AP-A05N-01Z	Primary Tumor
9c65cd64-56be-46d3-83a1-0f759e6b510c	TCGA-D1-A3JQ-01Z-00-DX1.24C3A97A-A2BA-4E38-BE2C-4B026A09A0B4.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-D1-A3JQ	TCGA-D1-A3JQ-01Z	Primary Tumor
88fcd2b1-5383-4a35-8a1e-ccbbf0f24f20	TCGA-D1-A0ZR-01Z-00-DX1.E126678B-0C0C-4632-98D7-E8297065E745.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-D1-A0ZR	TCGA-D1-A0ZR-01Z	Primary Tumor
7b481ea1-6ad0-4578-b47f-4c46518d79e9	TCGA-AP-A1DH-01Z-00-DX1.B075D509-FA42-4FC7-8F62-BEEF2710DC3D.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-AP-A1DH	TCGA-AP-A1DH-01Z	Primary Tumor
7c7731c4-d5d6-4329-af31-5b1fcf07fcd3	TCGA-BS-A0TE-01Z-00-DX1.D1A5A94C-7A69-4778-A879-838E7B4961D3.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-BS-A0TE	TCGA-BS-A0TE-01Z	Primary Tumor
584df19e-70ad-4a53-9563-8075f2217d6e	TCGA-EO-A2CH-01Z-00-DX1.E668F306-9D3C-46B8-8E9F-D1517FB7353C.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-EO-A2CH	TCGA-EO-A2CH-01Z	Primary Tumor
796a94ef-3c33-4300-8ce1-720afcfa9d51	TCGA-B5-A11L-01Z-00-DX1.AC8D3A32-90B3-4629-AD83-DEC67DAF7D1B.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-B5-A11L	TCGA-B5-A11L-01Z	Primary Tumor
7791b13d-925e-4106-8219-65a1d722809a	TCGA-D1-A1NY-01Z-00-DX1.EF677468-13B5-4ACA-AF5D-B7F661BF3496.svs	Biospecimen	Slide Image	TCGA-UCEC	TCGA-D1-A1NY	TCGA-D1-A1NY-01Z	Primary Tumor
a0c8d155-7c15-447f-be5f-813348d8a3eb	TCGA-E9-A1N8-01Z-00-DX1.1243AB1C-75A3-4A5E-9674-53992E6DD377.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E9-A1N8	TCGA-E9-A1N8-01Z	Primary Tumor
17ec20fd-267d-4fb4-b236-822a7934c9f1	TCGA-D8-A27V-01Z-00-DX1.F937C53B-0B55-4271-843E-2C28F72CF28E.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-D8-A27V	TCGA-D8-A27V-01Z	Primary Tumor
ce2b8842-4ddf-4415-9c7d-f211328c3d71	TCGA-A7-A0CE-01Z-00-DX2.5AD1DB65-10E7-4996-AB5E-13D7851EC5FA.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A0CE	TCGA-A7-A0CE-01Z	Primary Tumor
0441253a-5af1-4b62-9f75-9bfa19066cd8	TCGA-EW-A1OV-01Z-00-DX1.93698123-5B34-4163-848B-2D75A5F7B001.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-EW-A1OV	TCGA-EW-A1OV-01Z	Primary Tumor
8f666638-e5a2-4088-972b-ab614bc1f306	TCGA-PE-A5DD-01Z-00-DX1.E1EF11EC-B87B-49DE-A544-2E162F9AE789.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-PE-A5DD	TCGA-PE-A5DD-01Z	Primary Tumor
f4c82dfb-bcb5-42d4-968c-6185ef7fd0b0	TCGA-A7-A26I-01Z-00-DX1.0077D012-BC14-4E96-84F7-A1A6A3A778DF.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A26I	TCGA-A7-A26I-01Z	Primary Tumor
